"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"Y1";"Crystal_HC49-4H_Vertical";1;"16 MHz";;;
2;"U1";"TO-252-3_TabPin2";1;"LM1117DT-3.3";;;
3;"D2,D5";"LED_0805_2012Metric";2;"LED";;;
4;"J3,J2,J1";"PinHeader_1x09_P2.54mm_Vertical";3;"Conn_01x09_Pin";;;
5;"D4";"LED_0805_2012Metric";1;"RX";;;
6;"J4";"USB_Micro-AB_Molex_47590-0001";1;"USB_OTG";;;
7;"U3";"MSOP-10_3x3mm_P0.5mm";1;"CH340E";;;
8;"C10";"C_0805_2012Metric";1;"10nF";;;
9;"C7,C6";"C_0805_2012Metric";2;"22pF";;;
10;"R3,R1,R4,R7,R6";"R_0805_2012Metric";5;"1K";;;
11;"SW1";"SW_SPST_Omron_B3FS-100xP";1;"SW_Omron_B3FS";;;
12;"R5";"R_0805_2012Metric";1;"1M";;;
13;"C4,C2";"C_0805_2012Metric";2;"100uF";;;
14;"C8,C5";"C_0805_2012Metric";2;"100nF";;;
15;"C3,C1";"CP_EIA-3216-12_Kemet-S_HandSolder";2;"10uF";;;
16;"U2";"QFN-32-1EP_5x5mm_P0.5mm_EP3.3x3.3mm_ThermalVias";1;"ATmega328P-M";;;
17;"R8";"R_0805_2012Metric";1;"1K2";;;
18;"C9";"C_0805_2012Metric";1;"10uF";;;
19;"D1";"D_MELF";1;"SM4001";;;
20;"R2";"R_0805_2012Metric";1;"330R";;;
21;"F1";"Fuse_0805_2012Metric";1;"Polyfuse";;;
22;"D3";"LED_0805_2012Metric";1;"TX";;;
